OriginalName	scientificName	key	matchType	confidence	status	rank	kingdom	phylum	class	order	family	genus	species	canonicalName	authorship	usageKey	acceptedUsageKey
Acrocephalus	Acrocephalus J.A.Naumann & J.F.Naumann, 1811	2493112	EXACT	95	ACCEPTED	GENUS	Animalia	Chordata	Aves	Passeriformes	Acrocephalidae	Acrocephalus		Acrocephalus	J.A.Naumann & J.F.Naumann, 1811	2493112	
Aegolius funereus	Aegolius funereus (Linnaeus, 1758)	5739298	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Aves	Strigiformes	Strigidae	Aegolius	Aegolius funereus	Aegolius funereus	(Linnaeus, 1758) 	5739298	
Alcedo athis	Alcedo atthis (Linnaeus, 1758)	2475532	FUZZY	98	ACCEPTED	SPECIES	Animalia	Chordata	Aves	Coraciiformes	Alcedinidae	Alcedo	Alcedo atthis	Alcedo atthis	(Linnaeus, 1758) 	2475532	
Alectoris greaca	Alectoris graeca (Meisner, 1804)	2474055	FUZZY	96	ACCEPTED	SPECIES	Animalia	Chordata	Aves	Galliformes	Phasianidae	Alectoris	Alectoris graeca	Alectoris graeca	(Meisner, 1804) 	2474055	
Anguis  fragilis	Anguis fragilis Linnaeus, 1758	2468095	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Squamata		Anguidae	Anguis	Anguis fragilis	Anguis fragilis	Linnaeus, 1758	2468095	
Anura	Anura	952	EXACT	95	ACCEPTED	ORDER	Animalia	Chordata	Amphibia	Anura				Anura		952	
Apodemus	Apodemus Kaup, 1829	2437754	EXACT	95	ACCEPTED	GENUS	Animalia	Chordata	Mammalia	Rodentia	Muridae	Apodemus		Apodemus	Kaup, 1829	2437754	
Apodemus mystacinus	Apodemus mystacinus (Danford & Alston, 1877)	2437773	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Mammalia	Rodentia	Muridae	Apodemus	Apodemus mystacinus	Apodemus mystacinus	(Danford & Alston, 1877) 	2437773	
Arvicola amphibius	Arvicola amphibius (Linnaeus, 1758)	4265185	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Arvicola	Arvicola amphibius	Arvicola amphibius	(Linnaeus, 1758) 	4265185	
Aves	Aves	212	EXACT	96	ACCEPTED	CLASS	Animalia	Chordata	Aves					Aves		212	
Bombina variegata	Bombina variegata (Linnaeus, 1758)	2423435	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	Bombina variegata	Bombina variegata	(Linnaeus, 1758) 	2423435	
Bufo	Bufo Garsault, 1764	7580221	EXACT	95	ACCEPTED	GENUS	Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo		Bufo	Garsault, 1764	7580221	
Bufo bufo	Bufo bufo (Linnaeus, 1758)	5217160	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo	Bufo bufo	Bufo bufo	(Linnaeus, 1758) 	5217160	
Bufo viridis	Bufo viridis Laurenti, 1768	5216588	EXACT	100	SYNONYM	SPECIES	Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufotes	Bufotes viridis	Bufo viridis	Laurenti, 1768	5216588	9529916
Canis domesticus	Canis familiarus subsp. domesticus Linnaeus, 1758	6164211	HIGHERRANK	95	ACCEPTED	GENUS	Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis familiaris	Canis familiarus subsp. domesticus	Linnaeus, 1758	6164211	
Caprimulgus europaeus	Caprimulgus europaeus Linnaeus, 1758	8109681	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	Caprimulgus europaeus	Caprimulgus europaeus	Linnaeus, 1758	8109681	
Carduelis carduelis	Carduelis carduelis (Linnaeus, 1758)	2494686	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Aves	Passeriformes	Fringillidae	Carduelis	Carduelis carduelis	Carduelis carduelis	(Linnaeus, 1758) 	2494686	
Carduelis chloris	Carduelis chloris (Linnaeus, 1758)	2494642	EXACT	100	SYNONYM	SPECIES	Animalia	Chordata	Aves	Passeriformes	Fringillidae	Chloris	Chloris chloris	Carduelis chloris	(Linnaeus, 1758) 	2494642	5845582
Carnivora	Carnivora	732	EXACT	96	ACCEPTED	ORDER	Animalia	Chordata	Mammalia	Carnivora				Carnivora		732	
Chiroptera	Chiroptera	734	EXACT	96	ACCEPTED	ORDER	Animalia	Chordata	Mammalia	Chiroptera				Chiroptera		734	
Coccothraustes coccothraustes	Coccothraustes coccothraustes (Linnaeus, 1758)	2494329	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Aves	Passeriformes	Fringillidae	Coccothraustes	Coccothraustes coccothraustes	Coccothraustes coccothraustes	(Linnaeus, 1758) 	2494329	
Coluber	Coluber Linnaeus, 1758	2458634	EXACT	96	ACCEPTED	GENUS	Animalia	Chordata	Squamata		Colubridae	Coluber		Coluber	Linnaeus, 1758	2458634	
Coluber jugularis	Coluber jugularis Linnaeus, 1758	2457235	EXACT	100	SYNONYM	SPECIES	Animalia	Chordata	Squamata		Colubridae	Dolichophis	Dolichophis jugularis	Coluber jugularis	Linnaeus, 1758	2457235	2457232
Coluber najadum	Coluber najadum (Eichwald, 1831)	2453320	EXACT	100	SYNONYM	SPECIES	Animalia	Chordata	Squamata		Colubridae	Platyceps	Platyceps najadum	Coluber najadum	(Eichwald, 1831) 	2453320	5223135
Colubridae	Colubridae	6172	EXACT	96	ACCEPTED	FAMILY	Animalia	Chordata	Squamata		Colubridae			Colubridae		6172	
Crocidura	Crocidura Wagler, 1832	2435528	EXACT	95	ACCEPTED	GENUS	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Crocidura		Crocidura	Wagler, 1832	2435528	
Crocidura  leucodon	Crocidura leucodon (Hermann, 1780)	2435723	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Crocidura	Crocidura leucodon	Crocidura leucodon	(Hermann, 1780) 	2435723	
Crocidura suaveolens	Crocidura suaveolens (Pallas, 1811)	2435687	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Crocidura	Crocidura suaveolens	Crocidura suaveolens	(Pallas, 1811) 	2435687	
Delichon  urbicum	Delichon urbicum (Linnaeus, 1758)	2489214	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Aves	Passeriformes	Hirundinidae	Delichon	Delichon urbicum	Delichon urbicum	(Linnaeus, 1758) 	2489214	
Dryomys  nitedula	Dryomys nitedula (Pallas, 1778)	2439688	EXACT	100	ACCEPTED	SPECIES	Animalia	Chordata	Mammalia	Rodentia	Gliridae	Dryomys	Dryomys nitedula	Dryomys nitedula	(Pallas, 1778) 	2439688	
